Population	F115	FCA441	FCA506	FCA718	FCA006	FCA008	FCA082	FCA0097	FCA105	FCA229	FCA1023
Estonia	224244	131139	178202	218230	176176	135135	233233	142144	189191	162164	223225
Estonia	224224	135135	194200	218230	180180	127137	233239	136138	187191	164168	223229
Estonia	224240	139139	192200	214230	176180	133135	233243	144144	189191	160164	223225
Estonia	224224	135139	192194	230230	176180	135137	233239	144144	189189	164164	225229
Estonia	224230	135139	178200	214234	176180	135137	233245	138144	189189	164166	223229
Estonia	220224	139139	178194	230230	176176	137139	239239	138142	189189	158168	223223
Estonia	224228	139139	194194	222230	176176	135137	239239	138142	189189	158164	225225
Latvia	226236	135135	200200	226226	176180	137137	243243	138144	187191	158164	223229
Latvia	232244	135139	178200	218230	180184	135135	243245	138144	187193	164164	225227
Latvia	224232	135135	178200	218226	176176	135135	243245	138142	187189	158168	225225
Latvia	232244	135135	194194	218226	176180	135137	243245	142142	187193	158164	223223
Latvia	226236	135139	194200	214218	176180	127133	239243	138142	187187	158164	223223
Latvia	224236	139143	194200	230238	176180	133135	239245	136138	189193	158164	225229
Latvia	224228	135135	192200	218234	176178	135135	233233	138142	189191	164164	223229
Latvia	240244	135135	194200	218226	176180	135135	243245	142142	187187	164164	223223
Latvia	224228	135135	200200	214214	176178	133137	233243	144144	187191	164164	225225
Latvia	224240	139139	194200	218226	178178	135135	243245	138144	187191	158162	223223
Latvia	224236	135139	198202	222230	176180	127127	239245	142144	187187	160168	225225
Latvia	220228	131135	200200	222222	180180	127137	233243	140142	187187	160160	229229
Latvia	232240	127135	194200	226230	178178	135137	239243	136142	185189	162164	225229
Latvia	226232	135135	194194	218226	178180	133135	239245	138138	187191	164164	223229
Latvia	224224	139139	200200	214218	176178	127133	233243	142144	189191	162164	223227
Latvia	224224	139139	194194	218234	176180	135135	233239	138138	187189	164164	225229
Latvia	224224	135139	192192	230230	180180	127135	233239	142144	187189	162166	225229
Latvia	224224	135135	192200	218234	176180	135135	233239	138138	187189	164164	225229
Latvia	224236	135139	200202	218226	176178	127135	233245	142144	191193	164164	223229
Latvia	224226	135135	200202	226226	176180	127135	233243	138142	187187	164166	225225
Latvia	224240	127135	192202	214226	180180	133133	233243	138142	187191	162164	223229
Latvia	232240	135135	194202	226234	176178	127135	243243	142142	187193	158164	223229
Latvia	224224	135139	194200	214230	176176	135137	233233	138142	189189	164164	223229
Latvia	228232	135135	196202	214238	176180	135135	233233	138138	187191	158164	229229
Latvia	224228	135139	192200	218234	176180	135135	233239	142144	187187	158164	223225
Latvia	224224	135139	200200	214214	176176	133133	233233	138142	191191	158164	223229
Latvia	240244	135135	200200	218218	178178	135137	243243	140142	189193	164168	225229
Latvia	226240	135139	192200	214226	176176	137139	233233	140142	187187	164164	229229
Latvia	224232	127131	192202	214218	176180	135137	239243	142142	187189	158166	229229
Poland	236244	135139	194200	222234	180180	127135	243245	136138	187187	168168	223229
Poland	244244	131139	198200	214230	180180	127127	243243	138142	187187	164168	223223
Poland	228244	139143	200200	222230	180180	127137	243245	138138	187187	160168	223223
Poland	228244	135135	198198	214222	180180	127127	239245	136138	187191	158168	223229
Poland	228244	135139	200200	214218	180180	127135	239245	136138	187191	166166	223229
Poland	228244	131139	194200	214222	178180	133133	243243	136142	187193	158158	223223
Poland	228228	135139	198198	214214	178180	127127	243243	136142	191193	158166	223223
Poland	228240	131131	200200	214238	178180	127133	243243	136136	187193	158166	223229
Poland	228244	135139	194198	214230	180180	127133	243245	136138	187187	158168	223223
Poland	228244	139139	198200	214218	178180	135137	243243	136142	187191	158164	223223
Poland	224244	131135	194198	222238	180180	133133	243243	136142	187187	158158	223223
Poland	228244	131139	194200	214222	178180	133133	243243	136142	187193	158158	223223
Poland	236244	131139	200200	214234	176180	133135	243245	138142	187187	164168	225225
Poland	240252	127127	194198	218218	176180	133135	233243	140142	189189	158164	225225
Poland	244244	135143	198200	222230	180180	127127	243245	136138	187187	168168	223229
Poland	228228	135139	198198	214214	178180	127127	243243	136142	191193	158166	223223
Poland	228244	139139	200200	218230	178180	127133	243243	138138	187193	166168	223229
Poland	224244	139139	194198	218230	178180	127135	243245	136142	185187	158158	223225
Russia	224232	135135	200202	226226	176178	135135	239245	136138	187189	164166	225229
Russia	228228	131139	196200	214214	178178	135135	233233	136142	187191	158164	229229
Russia	232248	135135	178194	214218	176180	133137	233239	140140	191193	158158	225231
Russia	240240	135139	194194	226230	178180	135137	243243	142142	187193	166168	225231
Russia	230236	127131	178194	222222	176178	127137	233243	138142	187187	158164	225225
Russia	224240	131135	194202	226230	178180	135137	233245	142142	189191	158164	225225
Russia	232240	135139	196200	214222	176178	127137	233243	142144	187191	162168	225229
Russia	224240	135135	194200	222222	176176	135139	239239	138142	187191	158164	229229
Russia	228232	127135	178200	214226	176176	127135	233245	138144	191191	160166	225229
Russia	232236	131135	200200	230230	176178	127127	239243	138140	191193	158166	229231
Slovenia 	228232	123135	202202	214214	178178	135135	243243	136142	189189	160168	229229
Slovenia 	228228	131131	196196	214230	176180	135135	233245	136138	189191	160168	229229
Slovenia 	234240	127131	196202	214214	178180	133133	243243	136144	191191	162168	225229
Slovenia 	228232	135135	198198	214214	178178	135135	243243	136142	189189	160168	229229
Slovenia 	228228	135135	188196	214214	176178	133135	243245	136138	191195	160168	227229
Slovenia 	228228	135135	196200	214214	178178	135135	243245	136136	191195	160168	225229
Slovenia 	228232	135135	198202	214214	180180	133135	245245	138144	185189	160160	225229
Slovenia 	228232	135135	198198	214214	178180	133133	243243	136144	191195	160168	225229
Slovenia 	226226	135135	198198	214214	178180	133133	243243	136136	185191	162168	225229
Slovenia 	228232	135135	196198	214214	176180	133135	243245	136138	185195	160168	225229
Slovenia 	228232	135135	198198	214214	178180	133133	243243	136136	185195	160168	225229
Slovenia 	228228	135135	200202	214214	178178	135135	233243	136144	189189	160162	225229
Croatia	228228	131131	188198	214214	178178	133133	243243	136136	185191	168168	229231
Croatia	228228	131135	188196	214214	178178	135135	243245	136144	191193	160168	229229
Croatia	228232	127135	172190	214214	178180	133135	243243	144144	191191	168168	225229
Croatia	220228	131135	198198	214214	178178	135135	243243	136142	189189	164168	225229
Croatia	220232	131135	198198	214214	178180	135135	233243	136136	189191	160168	225229
Croatia	228232	131135	198198	214214	178180	133133	233243	136136	185191	162168	225225
Croatia	220228	127135	188198	214214	178180	133135	233243	136136	191191	162168	225225
Croatia	228232	135135	178198	214230	178178	127135	237237	138138	185189	160160	229229
BB  	226230	121135	198198	214214	178180	135135	243243	136144	193193	160160	229229
BB  	226226	135135	198198	214214	180180	135135	243245	136144	191193	160160	225229
BB  	226230	135137	176180	214214	180180	NA	243245	138144	189193	160162	225229
BB  	226242	135135	198198	214214	178180	129135	243245	136138	189193	160162	225229
BB  	226230	139139	198198	214214	178180	135135	243243	136138	189193	160160	229229
BB  	242242	133139	198198	NA	178180	129135	243243	138138	193193	160160	229229
BB  	234250	135139	188198	222226	178178	133133	243247	136140	187187	162162	223229
BB  	218230	131135	198202	214214	178180	133133	243245	136144	189189	160160	229229
BB  	230230	135135	198198	214214	178180	135135	243243	138144	189193	160160	229229
BB  	218226	135135	198198	214214	178180	135135	233243	138138	189193	160162	225229
BB  	226230	135135	198198	214214	178180	135135	243243	136144	189189	160160	225229
BB  	226230	131135	198202	214214	178178	135135	243243	138144	189189	160160	229229
VP 	228228	135135	198198	218222	180180	133133	243249	138138	189189	160160	225229
VP 	220228	139139	194198	214214	178180	135137	249249	136138	189195	160160	229229
VP 	220228	135135	198198	214222	178180	133133	243249	136144	189189	160160	225229
VP 	220220	NA	194198	214222	178180	133135	249249	136138	189191	160160	225229
VP 	220228	135135	196198	214214	180180	133135	245249	136138	189189	160160	229229
VP 	220228	135135	198198	222222	178180	133137	243249	136138	189189	160160	227229
VP 	220232	131135	198202	214214	180180	133135	243245	144144	189191	160162	225225
VP 	228228	135135	196198	214218	180180	133137	249249	136138	189195	160160	225229
VP 	228228	135135	194198	214222	178180	133137	249249	138138	189191	160160	225229
VP 	220228	135135	198198	222222	180180	133133	243245	136138	189195	160160	225229
VP 	218228	135135	196198	214214	180180	135137	245249	138138	189195	160160	229229
VP 	228228	135135	202202	214214	180180	133135	245245	136138	189195	162162	227229
VP 	220228	135135	196196	214214	180180	133135	245249	136138	189189	160160	229229
VP 	220228	135135	196198	214222	178180	133133	245249	136136	189195	160160	229229
VP 	228246	131131	198202	214214	180180	135135	243245	138144	189191	160160	229229
VP 	228236	131131	196198	214214	178180	135135	243243	136138	183193	160160	225229
VP 	228232	NA	196202	214214	180180	133135	233245	136138	189195	162162	229229
VP 	220220	135139	198198	222222	180180	133133	NA	136138	189189	160160	225229
VP 	220228	135135	198198	218222	180180	133137	243249	138138	189195	160160	225229
VP 	220228	135135	198198	222222	180180	133133	243249	136136	189195	160160	225225
VP 	220228	135135	194196	214222	178180	135137	245245	136138	189191	160160	229229
VP 	220220	135135	194196	214222	178180	133137	245245	136138	189189	160160	229229
VP 	228228	135135	194198	214214	178180	133137	245249	136136	189195	160160	227229
Slovakia  	220232	131135	194198	216216	178180	131133	243245	142144	189189	160162	225229
Slovakia  	228228	131135	194198	216216	178180	131133	243243	142144	189189	160160	225225
Slovakia  	220228	135135	198198	216216	178180	131133	243245	142144	187189	160162	225229
Slovakia  	228240	131135	194202	216226	178178	131135	243243	138144	189189	160162	225229
Slovakia  	228228	135135	196198	216216	178180	135135	233243	136144	189193	160162	229229
Slovakia  	228232	131135	188198	216230	180180	133135	243243	144144	191191	162164	225229
